Country	1990	1995	2000	2005	2010	2015	2017
WORLD	5330943	5751474	6145007	6542159	6958169	7383009	7550262
AFRICA	634567	722922	817566	924758	1049446	1194370	1256268
Eastern Africa	198646	226021	261114	300600	346987	399458	422036
BDI	5415	5962	6401	7423	8767	10199	10864
COM	412	475	542	612	690	777	814
DJI	590	630	718	783	851	927	957
ERI	3113	3090	3393	3969	4391	4847	5069
ETH	48087	57310	66537	76727	87703	99873	104957
KEN	23403	27346	31450	36048	41350	47236	49700
MDG	11599	13475	15767	18337	21152	24234	25571
MWI	9438	9909	11376	13040	15167	17574	18622
MUS	1056	1129	1185	1222	1248	1259	1265
MYT	95	123	150	178	209	240	253
MOZ	13248	15759	18068	20923	24221	28011	29669
REU	611	674	737	792	831	863	877
RWA	7236	5928	8026	8992	10247	11630	12208
SYC	71	77	81	89	91	94	95
SOM	7397	7705	9011	10410	12053	13908	14743
SSD	5768	5460	6701	8109	10067	11882	12576
UGA	17439	20550	24039	28544	33915	40145	42863
TZA	25460	29961	34178	39411	46099	53880	57310
ZMB	8027	9137	10531	12052	13850	16101	17094
ZWE	10183	11320	12222	12940	14086	15777	16530
Middle Africa	71331	84196	96099	111954	131351	153743	163495
AGO	12171	14269	16441	19553	23369	27859	29784
CMR	11715	13461	15274	17421	19970	22835	24054
CAF	2940	3353	3755	4128	4449	4546	4659
TCD	5957	7001	8343	10067	11887	14009	14900
COG	2440	2799	3226	3718	4387	4996	5261
COD	34615	41596	47076	54751	64523	76197	81340
GNQ	427	505	614	757	951	1175	1268
GAB	952	1086	1231	1403	1640	1930	2025
STP	114	126	139	156	175	196	204
Northern Africa	141238	158115	172559	187832	204310	225136	233604
DZA	25912	28904	31184	33288	36118	39872	41318
EGY	57412	63714	69906	76778	84108	93778	97553
LBY	4437	4949	5356	5793	6169	6235	6375
MAR	24879	27075	28850	30521	32410	34803	35740
SDN	20148	24103	27251	30912	34386	38648	40533
TUN	8233	9114	9699	10102	10640	11274	11532
ESH	217	256	314	438	480	526	553
Southern Africa	42818	48035	52286	55764	59016	63420	65143
BWA	1378	1569	1728	1856	2015	2209	2292
LSO	1604	1761	1869	1950	2041	2175	2233
NAM	1415	1655	1899	2032	2173	2426	2534
ZAF	37561	42088	45728	48821	51585	55291	56717
SWZ	861	961	1061	1106	1203	1319	1367
Western Africa	180533	206555	235508	268608	307781	352614	371990
BEN	4978	5906	6866	7982	9199	10576	11176
BFA	8811	10090	11608	13422	15605	18111	19193
CPV	342	389	435	475	502	533	546
CIV	12268	14541	16687	18336	20401	23108	24295
GMB	917	1066	1232	1444	1692	1978	2101
GHA	14628	16760	18939	21542	24512	27583	28834
GIN	6041	7871	8809	9680	10794	12092	12717
GNB	1012	1137	1243	1381	1556	1771	1861
LBR	2097	2073	2885	3261	3948	4500	4732
MLI	8465	9604	10968	12799	15075	17468	18542
MRT	2030	2327	2709	3131	3610	4182	4420
NER	8013	9477	11353	13618	16426	19897	21477
NGA	95270	108011	122352	138939	158578	181182	190886
SHN	6	5	5	4	4	4	4
SEN	7556	8747	9884	11251	12916	14977	15851
SLE	4312	4275	4564	5658	6459	7237	7557
TGO	3787	4274	4970	5683	6503	7417	7798
ASIA	3221342	3489306	3730371	3964343	4194425	4419898	4504428
Central Asia	50343	53437	55559	58738	63156	68705	70840
KAZ	16540	16035	15057	15541	16399	17750	18204
KGZ	4373	4566	4921	5075	5422	5865	6045
TJK	5284	5765	6216	6854	7642	8549	8921
TKM	3684	4208	4516	4755	5087	5565	5758
UZB	20462	22863	24849	26512	28606	30976	31911
Eastern Asia	1388798	1463529	1512378	1555012	1595829	1635150	1648165
CHN	1172445	1239940	1283199	1321623	1359755	1397029	1409517
HKG	5781	6140	6664	6828	7025	7246	7365
MAC	344	386	428	483	537	601	623
PRK	20293	21862	22929	23904	24592	25244	25491
JPN	124516	126375	127534	128336	128552	127975	127484
MNG	2184	2298	2397	2526	2713	2977	3076
KOR	42923	45299	47386	48708	49553	50594	50982
Southern Asia	1189316	1320106	1452758	1583092	1705374	1823308	1868985
AFG	12249	17100	20094	25071	28803	33736	35530
BGD	106189	118707	131581	143431	152149	161201	164670
BTN	537	515	573	657	728	787	808
IND	870133	960483	1053051	1144119	1230981	1309054	1339180
IRN	56226	60576	66132	70422	74568	79360	81163
MDV	223	254	280	319	365	418	436
NPL	18749	21396	23741	25640	27023	28656	29305
PAK	107679	122829	138523	153910	170560	189381	197016
LKA	17330	18247	18782	19525	20198	20714	20877
South-Eastern Asia	444097	485371	524657	561770	597328	634610	648780
BRN	259	297	333	365	389	418	429
KHM	8973	10654	12152	13270	14309	15518	16005
IDN	181437	196958	211540	226713	242524	258162	263991
LAO	4258	4852	5329	5754	6246	6664	6858
MYS	18038	20496	23186	25659	28112	30723	31624
MMR	40626	43238	46095	48483	50156	52404	53371
PHL	61947	69836	77992	86274	93727	101716	104918
SGP	3013	3479	3914	4491	5074	5535	5709
THA	56583	59492	62958	65425	67209	68658	69038
TLS	752	871	872	1026	1110	1241	1296
VNM	68210	75199	80286	84309	88473	93572	95541
Western Asia	148788	166864	185019	205731	232738	258124	267660
ARM	3538	3217	3070	2981	2877	2917	2930
AZE	7243	7775	8123	8539	9032	9617	9828
BHR	496	564	665	889	1241	1372	1493
CYP	767	855	943	1028	1113	1161	1180
GEO	5410	5020	4722	4487	4232	3952	3912
IRQ	17469	20208	23565	27008	30763	36116	38275
ISR	4500	5334	6014	6603	7426	8065	8322
JOR	3561	4573	5103	5714	7182	9159	9702
KWT	2100	1611	2051	2277	2998	3936	4137
LBN	2703	3033	3235	3987	4337	5851	6082
OMN	1812	2204	2268	2511	3041	4200	4636
QAT	476	513	592	865	1780	2482	2639
SAU	16327	18736	20764	23906	27426	31557	32938
PSE	2101	2618	3223	3576	4067	4663	4921
SYR	12446	14345	16411	18295	21019	18735	18270
TUR	53922	58486	63240	67903	72327	78271	80745
ARE	1860	2449	3155	4580	8271	9154	9400
YEM	12057	15321	17875	20583	23607	26916	28250
EUROPE	721699	728085	727201	730290	737164	740814	742074
Eastern Europe	309902	309557	303958	297511	294541	293244	292454
BLR	10217	10142	9934	9622	9473	9486	9468
BGR	8841	8379	7998	7684	7405	7177	7085
CZE	10341	10358	10290	10258	10536	10604	10618
HUN	10378	10350	10221	10086	9928	9784	9722
POL	37955	38453	38550	38363	38323	38265	38171
MDA	4364	4339	4201	4158	4084	4066	4051
ROU	23489	22965	22128	21431	20440	19877	19679
RUS	147564	148289	146397	143618	143154	143888	143990
SVK	5288	5375	5399	5399	5404	5439	5448
UKR	51464	50906	48840	46892	45793	44658	44223
Northern Europe	92142	93281	94544	96377	100314	103097	104200
Channel Islands	141	144	149	154	160	164	165
DNK	5141	5233	5341	5422	5555	5689	5734
EST	1565	1433	1399	1356	1332	1315	1310
FRO	48	46	47	48	49	49	49
FIN	4996	5119	5188	5259	5366	5482	5523
ISL	255	268	280	295	320	330	335
IRL	3569	3652	3849	4213	4627	4700	4762
IMN	68	70	73	76	80	83	84
LVA	2664	2508	2384	2252	2119	1993	1950
LTU	3696	3627	3502	3344	3124	2932	2890
NOR	4247	4367	4499	4632	4886	5200	5305
SWE	8567	8836	8882	9039	9390	9764	9911
GBR	57183	57978	58951	60287	63307	65397	66182
Southern Europe	143765	144632	145657	150393	153943	152441	151989
ALB	3281	3107	3122	3079	2941	2923	2930
AND	55	64	65	79	84	78	77
BIH	4463	3844	3767	3782	3722	3536	3507
HRV	4776	4617	4428	4378	4328	4236	4189
GIB	29	30	31	32	33	34	35
GRC	10249	10789	11142	11301	11446	11218	11160
VAT	1	1	1	1	1	1	1
ITA	57127	57255	57294	58808	59730	59504	59360
MLT	364	380	397	407	416	428	431
MNE	615	620	614	616	624	628	629
PRT	9953	10150	10355	10566	10652	10418	10330
SMR	24	26	27	29	31	33	33
SRB	9518	9884	9488	9215	9030	8851	8791
SVN	2006	1991	1988	1996	2045	2075	2080
ESP	39306	39890	40904	44043	46789	46398	46354
MKD	1996	1983	2035	2060	2071	2079	2083
Western Europe	175890	180615	183042	186010	188366	192032	193431
AUT	7724	7990	8069	8254	8410	8679	8735
BEL	10007	10186	10282	10547	10939	11288	11429
FRA	56961	58242	59608	61234	63027	64457	64980
DEU	79118	81241	81488	81671	80895	81708	82114
LIE	29	31	33	35	36	37	38
LUX	382	408	436	458	508	567	583
MCO	29	31	32	34	37	38	39
NLD	14965	15468	15926	16367	16683	16938	17036
CHE	6675	7019	7167	7410	7832	8320	8476
LATIN AMERICA AND THE CARIBBEAN	445919	486863	525795	561656	597562	632381	645593
Caribbean	34237	36423	38404	40116	41725	43310	43883
AIA	8	10	11	13	14	15	15
ATG	67	74	84	89	95	100	102
ABW	62	80	91	100	102	104	105
BHS	256	280	298	329	361	387	395
BRB	260	265	270	274	280	284	286
VGB	16	18	21	23	27	30	31
ANT	13	15	14	14	21	25	25
CYM	25	32	42	49	56	60	62
CUB	10582	10906	11151	11284	11333	11461	11485
CUW	147	144	132	129	148	158	161
DMA	71	71	70	71	71	73	74
DOM	7184	7892	8563	9238	9898	10528	10767
GRD	96	100	102	103	105	107	108
GLP	386	403	425	440	451	450	450
HTI	7100	7820	8549	9263	10000	10711	10981
JAM	2424	2537	2657	2745	2817	2872	2890
MTQ	358	369	387	397	395	386	385
MSR	11	10	5	5	5	5	5
PRI	3518	3690	3797	3765	3717	3674	3663
KNA	41	43	45	49	51	54	55
LCA	138	147	157	164	173	177	179
VCT	108	108	108	109	109	109	110
SXM	29	31	32	33	33	39	40
TTO	1222	1255	1268	1297	1328	1360	1369
TCA	12	15	19	26	31	34	35
VIR	104	107	109	108	106	105	105
Central America	114731	126844	137992	148212	160557	172635	177316
BLZ	188	207	247	283	322	359	375
CRI	3096	3511	3925	4248	4545	4808	4906
SLV	5255	5611	5868	6029	6165	6312	6378
GTM	9264	10408	11651	13096	14630	16252	16914
HND	4955	5709	6524	7373	8195	8961	9265
MEX	85358	94046	101720	108472	117319	125891	129163
NIC	4145	4612	5027	5379	5738	6082	6218
PAN	2471	2740	3030	3330	3643	3969	4099
South America	296951	323595	349399	373329	395280	416436	424394
ARG	32730	34995	37057	39145	41224	43418	44271
BOL	6856	7567	8340	9125	9918	10725	11052
BRA	149352	162297	175288	186917	196796	205962	209288
CHL	13242	14297	15263	16147	16993	17763	18055
COL	34272	37442	40404	43286	45918	48229	49066
ECU	10218	11441	12629	13735	14935	16144	16625
FLK	2	2	3	3	3	3	3
GUF	116	137	163	204	234	269	283
GUY	743	761	753	751	747	769	778
PRY	4214	4761	5303	5795	6210	6639	6811
PER	21827	24039	25915	27610	29374	31377	32165
SUR	407	444	472	499	526	553	563
URY	3110	3225	3321	3326	3374	3432	3457
VEN	19862	22189	24488	26784	29028	31155	31977
NORTHERN AMERICA	280345	295114	312845	327546	342937	356004	361208
BMU	61	63	64	65	64	62	61
CAN	27693	29330	30736	32288	34169	35950	36624
GRL	56	56	56	57	57	56	56
SPM	6	6	6	6	6	6	6
USA	252530	265659	281983	295130	308641	319929	324459
OCEANIA	27071	29185	31229	33568	36636	39543	40691
AUS/NZL	20440	21752	22925	24374	26490	28414	29156
AUS	17041	18077	19066	20239	22120	23800	24451
NZL	3398	3675	3859	4135	4370	4615	4706
Melanesia	5670	6388	7194	8048	8983	9933	10321
FJI	729	775	811	822	860	892	906
NCL	170	191	213	233	251	269	276
PNG	4313	4894	5572	6315	7108	7920	8251
SLB	312	359	413	470	528	587	611
VUT	147	168	185	209	236	265	276
Micronesia	413	465	498	503	503	519	528
GUM	130	146	155	158	159	162	164
KIR	72	78	84	92	103	112	116
MHL	47	51	52	52	52	53	53
FSM	96	108	107	106	104	104	106
NRU	9	10	10	10	10	11	11
MNP	43	56	69	64	54	55	55
PLW	15	17	19	20	20	21	22
Polynesia	549	580	613	642	659	677	686
ASM	47	53	58	59	56	56	56
COK	18	19	18	20	19	17	17
PYF	198	215	237	255	268	278	283
NIU	2	2	2	2	2	2	2
WSM	163	170	175	180	186	194	196
TKL	2	2	2	1	1	1	1
TON	95	96	98	101	104	106	108
TUV	9	9	9	10	11	11	11
WLF	14	14	15	15	13	12	12
